threshold,50,nonmax_suppression,1,neighbourhood,2
u,v
111.0,219.0
120.0,218.0
101.0,215.0
129.0,213.0
100.0,212.0
132.0,212.0
98.0,208.0
135.0,206.0
97.0,203.0
136.0,203.0
140.0,202.0
126.0,201.0
136.0,201.0
109.0,200.0
95.0,199.0
143.0,199.0
107.0,198.0
109.0,198.0
119.0,198.0
147.0,197.0
118.0,196.0
135.0,196.0
112.0,195.0
125.0,195.0
146.0,195.0
110.0,194.0
127.0,194.0
153.0,194.0
92.0,193.0
107.0,193.0
114.0,193.0
147.0,193.0
160.0,193.0
109.0,192.0
90.0,191.0
147.0,191.0
156.0,191.0
70.0,190.0
131.0,190.0
139.0,190.0
142.0,190.0
145.0,190.0
150.0,190.0
155.0,189.0
160.0,189.0
67.0,188.0
128.0,188.0
145.0,188.0
143.0,187.0
148.0,187.0
99.0,186.0
138.0,186.0
123.0,185.0
129.0,185.0
135.0,185.0
148.0,185.0
154.0,185.0
126.0,184.0
157.0,184.0
149.0,183.0
167.0,183.0
125.0,182.0
100.0,181.0
153.0,181.0
155.0,179.0
157.0,179.0
167.0,179.0
101.0,178.0
108.0,178.0
121.0,178.0
110.0,177.0
152.0,177.0
144.0,176.0
122.0,175.0
156.0,175.0
109.0,174.0
154.0,174.0
103.0,172.0
103.0,170.0
123.0,170.0
156.0,170.0
144.0,169.0
146.0,169.0
129.0,168.0
141.0,168.0
119.0,167.0
103.0,166.0
138.0,166.0
116.0,165.0
131.0,165.0
129.0,164.0
147.0,164.0
126.0,163.0
134.0,163.0
138.0,162.0
127.0,161.0
145.0,161.0
147.0,161.0
154.0,160.0
135.0,158.0
143.0,158.0
129.0,155.0
139.0,155.0
141.0,155.0
33.0,152.0
134.0,152.0
150.0,152.0
129.0,149.0
33.0,148.0
201.0,147.0
98.0,145.0
138.0,145.0
152.0,144.0
194.0,144.0
199.0,144.0
92.0,143.0
139.0,143.0
131.0,142.0
136.0,142.0
140.0,138.0
149.0,138.0
129.0,137.0
145.0,135.0
46.0,133.0
135.0,133.0
143.0,130.0
127.0,129.0
138.0,128.0
114.0,125.0
126.0,124.0
82.0,121.0
223.0,121.0
120.0,120.0
125.0,119.0
129.0,119.0
148.0,118.0
124.0,114.0
144.0,110.0
123.0,109.0
145.0,104.0
33.0,103.0
122.0,103.0
153.0,102.0
34.0,101.0
10.0,100.0
25.0,100.0
105.0,100.0
116.0,100.0
125.0,100.0
129.0,100.0
194.0,100.0
121.0,98.0
251.0,98.0
26.0,97.0
248.0,97.0
145.0,96.0
168.0,96.0
173.0,96.0
183.0,96.0
104.0,95.0
115.0,95.0
125.0,95.0
128.0,95.0
140.0,95.0
166.0,94.0
139.0,93.0
185.0,93.0
120.0,92.0
130.0,92.0
134.0,92.0
30.0,90.0
124.0,90.0
140.0,90.0
101.0,89.0
113.0,88.0
130.0,88.0
133.0,88.0
119.0,87.0
125.0,87.0
139.0,87.0
171.0,87.0
216.0,87.0
159.0,86.0
173.0,86.0
181.0,85.0
213.0,85.0
100.0,84.0
135.0,84.0
142.0,84.0
112.0,83.0
124.0,83.0
195.0,83.0
238.0,83.0
118.0,82.0
121.0,82.0
135.0,82.0
139.0,82.0
111.0,78.0
117.0,77.0
123.0,76.0
116.0,72.0
115.0,67.0
24.0,66.0
114.0,62.0
131.0,59.0
134.0,58.0
113.0,57.0
35.0,55.0
182.0,54.0
114.0,53.0
116.0,53.0
182.0,52.0
112.0,51.0
174.0,51.0
110.0,50.0
178.0,50.0
184.0,49.0
181.0,48.0
111.0,47.0
113.0,46.0
115.0,44.0
110.0,42.0
109.0,37.0
108.0,32.0
192.0,32.0
104.0,31.0
59.0,30.0
192.0,30.0
109.0,28.0
104.0,27.0
197.0,26.0
104.0,25.0
109.0,25.0
109.0,23.0
195.0,23.0
104.0,22.0
108.0,21.0
108.0,19.0
33.0,18.0
203.0,13.0
78.0,9.0
243.0,9.0
51.0,7.0
