threshold,75,nonmax_suppression,1,neighbourhood,2
u,v
158.0,253.0
128.0,251.0
189.0,248.0
89.0,246.0
150.0,237.0
94.0,230.0
228.0,218.0
213.0,217.0
220.0,213.0
20.0,208.0
67.0,194.0
182.0,180.0
17.0,178.0
238.0,167.0
142.0,164.0
221.0,162.0
48.0,161.0
145.0,161.0
191.0,160.0
3.0,154.0
190.0,154.0
12.0,153.0
249.0,139.0
160.0,134.0
127.0,133.0
130.0,133.0
156.0,133.0
136.0,129.0
160.0,129.0
127.0,127.0
126.0,125.0
131.0,123.0
123.0,121.0
136.0,121.0
171.0,120.0
142.0,118.0
158.0,118.0
170.0,118.0
128.0,117.0
138.0,116.0
167.0,116.0
172.0,115.0
147.0,114.0
153.0,113.0
151.0,112.0
36.0,98.0
33.0,91.0
38.0,80.0
37.0,74.0
221.0,52.0
191.0,28.0
184.0,24.0
69.0,22.0
184.0,21.0
194.0,21.0
192.0,20.0
116.0,10.0
250.0,7.0
118.0,6.0
214.0,6.0
