k,0.06,threshdiv,1000.0,kernel,7
u,v
251,8
279,17
669,27
242,33
7,33
280,36
576,41
585,48
165,55
70,55
81,63
1083,64
209,67
190,69
545,70
1079,74
244,75
272,80
132,93
148,94
213,105
243,109
84,112
265,113
415,116
434,123
378,134
1086,145
1078,148
19,152
37,157
57,160
1153,161
73,164
1022,168
89,168
106,171
115,172
130,177
1223,178
1081,182
154,182
254,185
965,189
1081,191
1284,196
1530,198
211,200
915,207
52,208
1342,210
155,220
1394,222
702,224
143,224
11,224
868,225
29,225
52,226
97,231
115,233
1446,238
825,240
1085,242
1465,244
85,245
1552,247
1544,249
71,250
1157,253
785,255
1023,256
1719,259
761,262
1222,266
967,273
1086,275
587,280
1287,281
1343,291
914,291
869,302
39,302
1399,305
27,308
826,314
1450,316
1468,318
786,327
1726,331
761,336
1083,337
116,337
202,339
1156,345
1021,349
1224,359
968,360
10,363
1727,367
1289,369
399,371
914,373
1346,378
869,383
1402,387
504,387
530,391
217,391
823,393
1450,395
568,395
1470,398
785,402
280,405
761,408
201,412
629,432
1083,433
531,437
1157,443
1021,445
1226,448
964,451
1288,457
915,458
1347,461
868,468
1402,469
501,469
1452,472
824,472
1472,475
782,479
761,484
1086,532
237,537
1160,539
1023,540
1226,543
964,544
1292,546
1351,547
914,548
867,549
1403,550
1456,553
823,555
783,555
1472,556
761,557
1160,633
1083,633
1022,633
963,633
914,633
864,633
822,633
779,633
1454,634
1406,634
1349,634
1227,634
1473,635
761,635
1290,636
964,647
1086,663
625,692
562,695
762,709
779,713
819,714
1457,715
1472,717
865,717
1404,718
66,719
1351,721
910,721
1292,727
962,727
1019,729
1226,730
1157,730
1735,733
1085,733
1081,745
778,788
763,788
1472,795
821,795
1454,797
862,801
1403,805
1348,808
910,811
961,816
1289,817
1228,823
1159,827
1018,827
1081,833
1472,857
764,861
778,867
818,874
1470,877
1453,880
862,887
1404,888
1084,888
1350,894
911,898
1290,906
961,909
1227,913
1017,919
1158,925
1083,932
765,940
777,941
1467,954
820,954
777,956
1453,960
861,967
1402,968
819,969
1454,972
1540,974
1647,977
1347,980
1539,982
861,982
1401,983
908,984
1345,994
1286,995
959,996
910,997
1288,1004
1225,1007
959,1011
1018,1014
1223,1017
1156,1017
1018,1027
1155,1029
1078,1030
1080,1042
