k,0.06,threshdiv,1000,kernel,7
u,v
246,10
669,27
243,33
7,33
279,38
576,41
585,48
165,55
71,55
1083,64
81,64
209,67
190,69
545,70
1079,74
244,74
272,81
132,93
148,94
195,102
213,104
243,110
84,112
265,113
415,116
434,122
420,131
378,134
1086,145
1106,148
1078,148
19,153
37,157
57,160
1153,161
73,164
1022,168
89,168
106,171
115,172
130,177
1080,179
1222,180
153,182
254,185
965,189
243,189
1080,192
1282,193
1530,198
211,200
915,207
52,207
1342,210
155,220
1394,222
11,223
143,224
868,225
29,225
702,227
98,231
116,233
1446,238
825,240
1085,242
82,246
1552,247
1544,249
788,251
1157,253
704,258
1021,259
761,262
1225,269
966,273
1086,278
1287,279
917,287
1085,289
1345,294
41,302
868,304
1399,305
27,308
1447,313
1468,318
824,318
116,326
784,327
1726,331
761,333
1082,338
202,339
1156,345
1021,349
1224,359
11,363
965,364
1287,366
1727,367
399,371
914,375
1345,378
869,383
1402,387
504,387
532,392
217,392
825,393
1450,395
568,395
1470,397
785,402
280,406
761,408
203,410
629,435
1087,436
532,437
1157,443
1021,445
1226,448
964,451
1288,457
1347,461
913,461
866,466
1402,467
501,469
824,472
1472,475
1455,475
781,479
761,484
1086,532
1020,537
237,537
1160,539
1226,543
964,544
1292,546
912,546
1351,547
867,549
1403,550
1456,553
823,555
1473,556
761,557
780,558
1083,633
1022,633
864,633
779,633
1473,634
1406,634
1349,634
761,635
1290,636
1229,636
1158,636
966,636
911,636
820,636
1457,637
964,647
1086,663
966,686
625,692
562,694
561,708
762,709
781,710
819,714
1457,715
1472,717
1404,718
66,719
863,720
1351,721
910,721
1290,724
962,727
1019,729
1226,730
1735,733
1160,733
1085,733
763,787
778,788
1472,795
1454,797
818,797
865,804
1403,805
912,808
1350,810
1289,817
964,819
1228,823
1159,827
1018,827
1081,833
763,862
780,865
818,874
1470,877
1453,880
864,885
1404,888
1084,888
1349,894
911,898
1290,906
1084,906
961,909
1227,912
1017,919
1158,925
1083,932
765,940
777,941
1467,954
819,956
777,957
1453,960
861,967
1402,968
820,969
1454,972
1540,974
1647,977
1347,982
910,982
861,982
1402,983
1345,994
1286,995
959,996
910,997
1288,1004
1225,1007
959,1011
1018,1014
1223,1017
1156,1017
1018,1027
1078,1030
1080,1042
1535,1073
