k,0.15,threshdiv,1000,kernel,3
u,v
30,9
31,17
245,20
31,23
22,25
147,28
31,29
146,32
245,33
32,42
118,45
239,57
151,57
195,69
234,71
199,76
221,80
53,80
228,83
110,90
135,94
118,96
38,96
134,98
130,99
39,102
200,105
58,108
37,112
32,112
59,113
55,115
29,117
16,117
36,118
161,120
118,124
112,125
124,126
178,127
130,127
199,128
173,128
209,130
158,132
199,133
172,136
151,138
172,140
210,145
175,146
63,147
203,149
190,154
64,168
185,182
107,182
157,193
99,198
157,199
153,199
100,203
113,205
68,217
110,222
112,227
