k,0.15,threshdiv,500.0,kernel,5
u,v
207,8
161,9
18,11
123,17
43,19
114,21
82,21
194,22
229,23
147,26
197,31
148,32
105,32
49,32
80,33
18,34
248,39
211,43
81,43
149,44
201,45
180,46
22,47
149,50
30,50
59,51
82,53
127,54
236,62
175,63
63,64
217,67
95,67
238,68
146,70
51,70
209,71
190,71
7,72
17,73
107,74
83,76
244,79
70,79
119,81
207,88
163,88
36,89
242,90
180,94
138,96
91,97
32,97
50,100
217,103
25,104
117,107
182,108
249,109
192,109
18,109
222,110
147,116
37,116
193,117
57,118
84,119
235,120
204,121
92,121
19,121
109,123
84,125
8,127
199,130
74,131
146,137
52,137
178,138
163,140
231,142
38,143
85,144
215,145
113,146
200,148
121,148
107,148
23,148
233,152
199,154
32,154
191,156
54,156
145,157
79,159
216,162
171,162
190,165
227,168
40,168
76,169
27,169
9,169
84,171
191,172
214,173
105,174
150,176
66,176
171,177
165,177
91,177
243,178
83,178
129,179
45,182
136,183
216,184
171,185
11,189
69,192
185,194
58,195
12,195
236,196
105,197
25,197
34,198
70,200
147,201
235,203
223,204
180,204
39,205
154,208
126,208
203,211
66,211
215,212
117,212
195,213
18,213
12,213
90,214
76,214
250,216
170,216
161,216
134,217
18,219
225,220
91,221
194,222
157,223
35,223
128,224
50,228
161,229
61,229
244,230
90,230
76,233
108,234
221,236
174,236
11,236
161,240
217,243
50,243
230,247
39,248
20,249
119,251
