k,0.04,threshdiv,50.0,kernel,5
u,v
675,8
417,10
346,10
654,13
181,14
408,15
558,21
536,22
499,23
198,24
694,34
364,36
355,41
390,44
371,44
541,45
121,49
175,50
690,52
360,52
43,52
646,53
32,53
55,54
403,55
414,56
384,57
679,58
450,59
377,59
121,59
463,60
360,60
647,62
420,63
483,64
637,65
111,65
173,66
692,67
134,67
440,69
423,70
683,71
107,71
394,72
113,72
376,75
132,75
350,76
17,76
31,77
384,78
447,79
396,79
38,79
694,80
254,82
50,82
326,83
631,84
397,85
688,86
118,88
433,89
104,90
454,92
381,92
426,93
151,93
688,96
553,97
435,97
36,97
626,98
403,98
638,100
606,100
540,100
583,101
525,101
101,101
425,103
388,103
20,103
547,104
513,104
407,106
90,106
541,107
686,110
499,110
415,110
45,110
447,111
99,112
581,113
365,113
532,114
609,115
544,115
484,115
256,115
393,116
400,117
387,117
380,118
572,120
468,121
409,121
692,122
600,122
248,122
232,122
66,122
21,122
269,123
216,123
56,123
34,123
203,124
92,124
189,125
685,127
550,127
455,127
415,128
84,129
379,130
15,130
577,131
341,131
678,132
443,132
404,132
258,132
587,133
252,133
29,133
559,134
423,134
391,134
354,134
372,135
283,135
530,136
432,137
12,137
677,139
538,139
210,140
498,141
76,141
360,142
188,142
247,143
45,143
85,144
411,145
57,145
570,146
550,146
338,147
384,149
237,149
397,152
371,152
66,152
33,154
533,155
45,155
558,156
438,157
224,157
612,159
384,159
687,161
663,161
218,161
72,162
449,163
209,163
166,163
597,164
557,164
358,164
40,165
620,168
656,169
20,169
589,170
194,170
610,171
527,171
181,171
42,171
29,171
57,172
579,174
563,175
479,175
164,175
48,175
621,177
430,178
381,178
436,179
219,179
519,180
393,180
140,180
638,181
560,181
191,181
265,183
182,183
619,184
360,184
610,185
475,185
574,186
489,186
442,186
582,187
544,188
410,188
272,188
678,189
554,189
459,189
423,189
80,189
391,190
371,190
477,192
434,192
344,192
214,192
130,192
47,192
592,193
265,193
492,194
442,195
271,195
522,196
116,196
604,198
502,199
187,199
448,200
567,201
392,201
306,201
245,201
168,201
126,201
94,202
34,202
682,203
645,203
202,203
229,204
85,204
438,205
174,205
339,207
693,208
239,208
58,208
401,209
31,209
591,210
118,210
45,210
93,211
369,213
543,214
468,214
456,214
356,214
565,216
343,216
578,217
59,217
477,218
495,219
399,219
38,221
509,222
265,223
583,225
546,226
392,226
665,227
328,227
265,229
457,231
42,231
364,233
527,234
502,234
391,234
643,236
271,236
572,238
309,239
658,240
386,241
282,241
299,242
229,242
214,242
119,242
78,243
522,244
593,245
568,246
508,246
670,248
359,248
393,249
347,249
202,249
626,250
400,250
371,250
242,250
383,251
235,252
657,254
543,254
221,254
52,254
598,255
258,255
84,255
643,256
442,256
345,256
101,256
206,258
455,259
612,261
605,261
481,262
341,262
219,263
212,265
66,265
630,266
251,266
200,266
570,267
330,267
105,267
87,267
648,269
612,269
233,270
126,270
345,271
75,271
533,272
326,273
221,273
65,273
46,274
401,275
56,275
119,276
651,277
166,278
471,279
317,279
243,279
577,280
392,281
35,281
548,282
63,282
423,283
111,283
215,284
227,286
18,286
315,287
235,287
135,287
10,287
642,288
556,288
396,288
104,288
84,289
69,289
573,291
304,291
219,291
666,292
411,292
255,292
60,292
477,293
659,294
147,294
397,295
483,296
230,302
301,304
255,304
569,305
71,305
409,306
97,306
41,307
579,308
245,308
238,308
644,309
403,310
542,311
75,312
687,313
169,314
109,314
571,315
559,316
133,316
413,317
331,319
39,319
545,320
124,322
73,322
607,323
691,324
387,324
265,324
113,324
107,325
211,326
183,326
154,326
89,326
51,326
501,327
247,327
221,327
234,328
29,329
557,330
376,330
297,331
73,331
484,333
526,334
470,334
198,334
613,335
255,335
18,336
315,337
280,337
328,338
297,338
177,338
248,339
596,340
109,340
347,341
232,341
190,341
119,342
30,342
411,343
488,344
402,344
287,344
18,345
257,346
171,346
77,346
562,347
309,347
87,347
327,348
388,349
250,349
10,349
237,350
145,350
553,352
438,352
346,352
269,352
410,353
375,353
169,354
101,355
299,356
616,357
547,357
83,357
658,358
141,358
238,359
290,361
260,361
7,361
538,362
378,362
337,362
250,362
18,363
511,364
63,366
76,367
56,367
330,368
245,369
619,370
545,370
122,370
114,370
361,371
258,372
593,373
577,374
291,374
530,375
355,375
280,375
91,375
105,376
620,377
226,377
549,378
134,378
635,380
397,380
232,380
194,380
147,380
216,381
204,381
72,381
567,382
343,382
310,383
518,384
239,386
8,386
391,387
202,387
171,387
60,387
299,388
142,388
67,388
581,389
511,389
418,389
182,389
156,389
53,389
588,390
430,390
384,390
562,391
194,391
42,391
491,392
149,392
133,392
549,393
335,393
224,393
35,393
636,394
451,394
311,394
124,394
283,395
269,395
201,395
181,395
173,395
443,396
326,397
210,397
142,398
686,399
437,399
263,399
237,399
62,400
426,401
246,401
9,402
415,403
392,403
298,403
539,404
317,404
221,404
56,405
45,406
621,407
611,407
579,407
549,407
26,407
288,408
247,408
209,408
335,409
321,412
11,412
452,413
437,414
30,414
570,415
408,415
583,416
426,416
305,416
419,417
398,417
145,417
18,417
268,418
321,419
239,419
61,420
5,420
670,421
568,421
444,421
249,421
550,422
536,422
391,423
119,423
660,424
217,424
70,424
409,425
104,425
49,425
469,426
329,426
255,426
495,427
619,428
235,429
199,429
190,429
37,429
262,430
209,430
111,430
91,431
523,432
29,432
507,433
415,433
336,433
57,433
490,435
376,435
182,436
109,436
564,437
245,437
295,438
254,438
675,439
126,439
541,440
321,440
303,440
280,440
261,440
167,440
42,440
24,442
